matr_aluno;nome_aluno;email_aluno;ano_ingresso;nome_mae
10;jose;hxcvk@sid.com;1999;Maria jose
20;antonio;hxcvk@sid.com;1999;Antonia Josefa
30;maria;hxcvk@sid.com;1980;Lucia Mendes
40;josefina;hxcvk@sid.com;1970;Roberta Dias
50;erivelton;hxcvk@sid.com;2005;Miranda Caldas
60;rita;hxcvk@sid.com;2005;Ana Rita
70;ana;hxcvk@sid.com;2007;Laissa
80;mauro;hxcvk@sid.com;2008;Marlene
90;pedro;hxcvk@sid.com;2009;Benedita
100;miriam;hxcvk@sid.com;2010;Josefa
110;carlos;hxcvk@sid.com;2011;Zelia
120;keila;hxcvk@sid.com;2015;Paula
130;ricardo;hxcvk@sid.com;2013;Tarcila
140;ana maria;hxcvk@sid.com;2004;Renata
150;jose carlos Lima;hxcvk@sid.com;2004;Gilda
160;Jose carlos da Silva;hxcvk@sid.com;1966;Desirre
170;flaviano;hxcvk@sid.com;2010;Dalva
180;ze aokubo;hxcvk@sid.com;1968;Noelia
190;olimpio;hxcvk@sid.com;1969;Bene Ribeiro
200;regina;hxcvk@sid.com;1990;Marilena Albanese
210;izabel;hxcvk@sid.com;1971;Maria Izabel
220;ana rita;hxcvk@sid.com;1972;Renata Foca
230;maria izabel;hxcvk@sid.com;1973;Cidinha nunes
240;jorge;hxcvk@sid.com;1974;Antonieta franco
250;jussara;hxcvk@sid.com;1975;Paulete Aguiar
260;Jose Carlos da Silva;lojddg@sid.com;2010;Fatima Jose
270;Maria Aparecida da Silva;lojddg@sid.com;2011;Gilda neves
280;Antonio Carlos da Silva;lojddg@sid.com;2012;dominica
290;Ana Claudia Dias;lojddg@sid.com;2013;Ana Rita dias
300;Antonio Carlos da Silva;lojddg@sid.com;2014;jucileide
310;Ana Claudia Dias;lojddg@sid.com;2015;marisa foz
320;Maria Aparecida da Silva;lojddg@sid.com;2016;maria antonia da silva
