Cardiologia;7.33;walter;900;Regina;200;walter@sid.com
Psiquiatria;5.79;mara;500;Regina;200;mara@sid.com
Pediatria;8.88;pedro;600;Regina;200;pedro@sid.com
Cardiologia;7.01;mane;901;Izabel;210;mane@sid.com
Vascular;6.92;zara;800;Izabel;210;zara@sid.com
Pediatria;6.14;Pedro;601;Izabel;210;pedro@sid.com
Fono;0.67;Ana Rita;400;Ricardo;130;anarita@sid.com
Psiquiatria;2.2;Zelinda;501;Ricardo;130;zelinda@sid.com
Ortopedia;0.25;Moises;300;Ricardo;130;moises@sid.com
nefro;7.4;Leocardio;200;olimpio;190;leo@sid.com
Endocrino;8.74;Ze carlos;710;olimpio;190;zeca@sid.com
Ortopedia;1.57;Papa;301;olimpio;190;papa@sid.com
Vascular;3.54;Lalau;801;flaviano;170;lalau@sid.com
Endocrino;4.76;Ze carlos;710;flaviano;170;zeca@sid.com
Oftalmo;0.9;Jonas;100;flaviano;170;jonas@sid.com
Urologia;8.67;Diogenes;111;keila;120;dio@sid.com
nefro;5.02;Gustavo;201;keila;120;guto@sid.com
Oftalmo;2.94;Jonas;100;keila;120;jonas@sid.com
Urologia;0.22;Hugo;101;jorge;240;hugo@sid.com
Fono;7.21;Ana Rita;400;jorge;240;anarita@sid.com
Vascular;6.41;zara;800;jorge;240;zara@sid.com
nefro;3.01;Gustavo;201;jussara;250;guto@sid.com
Urologia;0.81;Hugo;101;jussara;250;hugo@sid.com
Cardiologia;3.24;Mane;901;jussara;250;mane@sid.com
Ortopedia;9.03;Papa;301;jussara;250;papa@sid.com
Cardiologia;7.33;walter;900;jose;10;walter@sid.com
Psiquiatria;5.79;mara;500;antonio;20;mara@sid.com
Pediatria;8.88;pedro;600;maria;30;pedro@sid.com
Cardiologia;7.01;mane;901;josefina;40;mane@sid.com
Vascular;6.92;zara;800;erivelton;50;zara@sid.com
Pediatria;6.14;Pedro;600;rita;60;pedro@sid.com
Fono;0.67;Ana Rita;400;ana;70;anarita@sid.com
Psiquiatria;2.2;Zelinda;501;mauro;80;zelinda@sid.com
Ortopedia;0.25;Moises;300;pedro;90;moises@sid.com
nefro;7.4;Leocardio;200;miriam;100;leo@sid.com
Endocrino;8.74;Ze carlos;710;carlos;110;zeca@sid.com
Ortopedia;1.57;Papa;301;keila;120;papa@sid.com
Vascular;3.54;Lalau;801;ricardo;130;lalau@sid.com
Endocrino;4.76;Ze carlos;710;ana maria;140;zeca@sid.com
Oftalmo;0.9;Jonas;100;jose carlos Lima;150;jonas@sid.com
Urologia;8.67;Diogenes;111;Jose carlos da Silva;160;dio@sid.com
nefro;5.02;Gustavo;201;flaviano;170;guto@sid.com
Oftalmo;2.94;Jonas;100;ze aokubo;180;jonas@sid.com
Urologia;0.22;Hugo;101;olimpio;190;hugo@sid.com
Fono;7.21;Ana Rita;400;regina;200;anarita@sid.com
Vascular;6.41;zara;800;izabel;210;zara@sid.com
nefro;3.01;Gustavo;201;ana rita;220;guto@sid.com
Urologia;0.81;Hugo;101;maria izabel;230;hugo@sid.com
Cardiologia;3.24;Mane;901;jorge;240;mane@sid.com
Ortopedia;9.03;Papa;301;jussara;250;papa@sid.com
Vascular;2.94;zara;800;Jose Carlos da Silva;260;zara@sid.com
nefro;9.03;Gustavo;201;Maria Aparecida da Silva;270;guto@sid.com
Urologia;7.21;Hugo;101;Antonio Carlos da Silva;280;hugo@sid.com
Cardiologia;6.41;Mane;901;Ana Claudia Dias;290;mane@sid.com
Ortopedia;3.01;Papa;301;Antonio Carlos da Silva;300;papa@sid.com
Cardiologia;0.81;mane;901;Ana Claudia Dias;310;mane@sid.com
Psiquiatria;3.24;Zelinda;501;Maria Aparecida da Silva;320;zelinda@sid.com
