Cod Prof;Professor;email;Disciplina;Cod Discip
27;Leocardio;leo@sid.com;Nefro;200
36;Jonas;jonas@sid.com;Oftalmo;100
84;Mara;mara@sid.com;Psiquiatria;500
96;Pedro;pedro@sid.com;Pediatria;600
72;Anabela;anabela@sid.com;Odonto;110
24;Zara;zara@sid.com;Vascular;800
69;Paulo;paulo@sid.com;Pediatria;601
48;Marcus;marcus@sid.com;Odonto;701
85;Zelinda;zelinda@sid.com;Psiquiatria;501
53;Moises;moises@sid.com;Ortopedia;300
97;Mane;mane@sid.com;Cardiologia;901
42;Papa;papa@sid.com;Ortopedia;301
54;Gustavo;gustavo@sid.com;Nefro;201
89;Diogenes;diogenes@sid.com;Uro;111
62;Hugo;hugo@sid.com;Uro;100
11;Walter;walter@sid.com;Cardiologia;900
55;Lalau;lalau@sid.com;Vascular;801
67;Ze Carlos;zecarlos@sid.com;Endocrino;700
33;Ana Rita;arita@sid.com;Fono;400
99;Gustavo Getulio;gg@sid.com;Publicidade;350
